Symbol,Fund Name,Asset Class,Assets,Stock Price,% Change,Volume,Holdings,Open,Low,High,Close,Premkt. Price,Premkt. Chg%,Premkt. Close,Afterhr. Price,Afterhr. Chg%,Afterhr. Close,Category,52W Low,52W High,Avg. Volume,Rel. Volume,Gap (%),Chg. Open (%),Exp. Ratio,Issuer,Index,Inception,PE Ratio,Beta (5Y),RSI,RSI (W),RSI (M),ATR,Div. ($),Last Div.,Div. Yield,Div. Growth,Years,Payout Ratio,Payout Freq.,Ex-Div Date,Payment Date,Exchange,Region,Country,Leverage,Options,Shares,Change 1M,Change 3M,Change 6M,Change YTD,Change 1Y,Change 3Y,Change 5Y,Change 10Y,Change 15Y,Change 20Y,Return 1M,Return 3M,Return 6M,Return YTD,Return 1Y,Return 3Y,Return 5Y,Return 10Y,Return 15Y,Return 20Y,CAGR 1Y,CAGR 3Y,CAGR 5Y,CAGR 10Y,CAGR 15Y,CAGR 20Y,52W Low Chg,52W High Chg,ATH,ATH Chg (%),ATH Date,ATL,ATL Chg (%),ATL Date,Tags,50 MA,200 MA,20 MA,150 MA,20MA Chg %,50MA Chg %,150MA Chg %,200MA Chg %,CUSIP Number,ISIN Number
SQLV,Royce Quant Small-Cap Quality Value ETF,Equity,28189084,43.64,-0.82%,348,277,43.98,43.64,43.98,44.00,,,,,,,Small Value,38.01,46.10,3541,9.87%,-0.05%,-0.77%,0.60%,Franklin Templeton,,2017-07-12,13.64,1.22,54.79,55.03,58.05,0.53,0.48,0.13,1.09%,6.01%,2,14.88%,Quarterly,2024-12-16,,NASDAQ,North America,United States,Long,No,650000,2.99%,4.45%,6.52%,2.34%,9.88%,16.60%,56.69%,,,,2.99%,4.75%,7.16%,2.34%,11.16%,20.89%,67.00%,,,,11.14%,6.53%,10.80%,,,,14.81%,-5.34%,46.10,-5.34%,2024-11-25,15.07,189.60%,2020-03-19,,43.92,41.26,42.74,41.79,2.10%,-0.65%,4.42%,5.77%,52468L877,US52468L8770
JANZ,TrueShares Structured Outcome (January) ETF,Equity,28169936,35.26,0.70%,1980,6,35.15,35.15,35.26,35.01,,,,,,,Defined Outcome,30.27,36.36,3617,52.71%,0.40%,0.31%,0.79%,Truemark Group,,2020-12-31,26.64,0.77,54.29,55.75,67.31,0.31,0.93,0.93,2.64%,20.26%,2,70.07%,Annual,2024-12-27,,BATS,North America,United States,Long,No,810000,-0.64%,0.45%,5.56%,2.62%,16.87%,28.41%,,,,,2.01%,3.13%,8.37%,2.62%,19.98%,35.50%,,,,,19.93%,10.66%,,,,,16.49%,-3.03%,36.36,-3.03%,2024-12-11,23.57,49.60%,2022-10-13,,35.43,33.80,34.78,34.41,1.38%,-0.47%,2.46%,4.33%,53656F763,US53656F7630
SRS,ProShares UltraShort Real Estate,Equity,28153736,51.00,3.91%,10665,9,49.13,49.13,51.00,49.08,,,,,,,Trading--Inverse Equity,12.16,71.92,18544,57.51%,0.10%,3.81%,0.95%,ProShares,Real Estate Select Sector Index,2007-01-30,,-1.95,48.63,49.72,43.16,1.68,3.15,0.88,6.17%,190.31%,3,,Quarterly,2024-12-23,,NYSEARCA,North America,United States,-2X Short,Yes,487888,-4.96%,10.20%,-6.87%,-1.85%,-16.99%,-10.90%,-63.32%,-86.07%,-98.64%,,-3.35%,12.06%,-3.60%,-1.85%,-12.02%,-1.68%,-59.49%,-84.29%,-98.47%,,-11.99%,-0.56%,-16.53%,-16.89%,-24.31%,,319.41%,-29.09%,141950.40,-99.96%,2008-11-21,43.15,18.19%,2024-11-27,,49.45,54.05,52.55,50.34,-2.95%,3.14%,1.32%,-5.63%,74347G556,US74347G5568
TTT,ProShares UltraPro Short 20+ Year Treasury,Fixed Income,28140920,78.63,1.63%,8869,10,77.84,77.84,79.04,77.37,77.70,0.43%,77.37,,,,Trading--Inverse Debt,54.12,87.57,17052,52.01%,0.61%,1.01%,0.95%,ProShares,US Treasury 20+ Year Index,2012-03-27,,-0.82,50.66,56.15,53.89,2.45,3.88,3.48,4.94%,-58.62%,,,Quarterly,2024-12-23,,NYSEARCA,North America,United States,-3X Short,Yes,383605,-0.86%,9.93%,9.97%,-1.68%,10.31%,135.14%,30.35%,-44.03%,,,3.58%,14.84%,15.32%,-1.68%,15.96%,178.85%,55.01%,-32.00%,,,15.93%,40.74%,9.16%,-3.78%,,,45.29%,-10.21%,427.04,-81.59%,2012-04-03,24.04,227.08%,2020-03-09,,75.29,71.28,79.93,68.88,-1.63%,4.43%,14.15%,10.32%,74347G887,US74347G8877
AVMA,Avantis Moderate Allocation ETF,Asset Allocation,28083520,59.58,-0.11%,3650,18,59.60,59.57,59.69,59.64,,,,,,,Moderate Allocation,53.58,62.37,5050,72.27%,-0.07%,-0.04%,0.21%,American Century Investments,,2023-06-27,17.16,,58.37,54.67,64.17,0.40,1.33,0.77,2.22%,,2,38.14%,Semi-Annual,2024-12-19,,NYSEARCA,,,Long,Yes,475000,2.31%,0.07%,3.82%,2.47%,11.75%,,,,,,2.31%,1.40%,5.19%,2.47%,14.35%,,,,,,14.31%,,,,,,11.19%,-4.48%,62.37,-4.48%,2024-12-16,48.10,23.86%,2023-10-27,,59.62,58.03,58.51,58.64,1.82%,-0.08%,1.59%,2.67%,025072182,US0250721828
IBIE,iShares iBonds Oct 2028 Term TIPS ETF,Fixed Income,28075396,25.51,-0.08%,12528,8,25.52,25.50,25.53,25.53,,,,,,,Target Maturity,25.15,26.40,9818,133.06%,-0.04%,-0.04%,0.10%,BlackRock,ICE 2028 Maturity USInflation-Linked Treasury Index,2023-09-13,,,54.13,48.36,60.46,0.05,1.08,0.20,4.22%,,2,,Quarterly,2024-12-18,,NYSEARCA,North America,United States,Long,No,1100000,0.79%,-0.58%,0.51%,0.39%,0.30%,,,,,,0.79%,0.20%,2.13%,0.39%,4.62%,,,,,,4.61%,,,,,,1.43%,-3.37%,26.40,-3.35%,2024-09-16,24.58,3.79%,2023-10-03,,25.53,25.56,25.41,25.62,0.41%,-0.08%,-0.43%,-0.18%,46438G703,US46438G7034
THIR,THOR Index Rotation ETF,Equity,28066100,26.75,1.00%,5589,0,26.72,26.72,26.78,26.48,,,,26.25,-0.09%,26.28,,24.89,26.84,18716,29.86%,0.91%,0.10%,0.70%,THOR,THOR SDQ Rotation Index,2024-09-24,29.19,,62.17,61.72,,0.26,0.08,0.08,0.29%,,1,8.29%,,2024-12-12,,NYSE,North America,United States,Long,No,1100000,2.75%,4.71%,,3.59%,,,,,,,2.75%,5.01%,,3.59%,,,,,,,,,,,,,7.46%,-0.35%,26.84,-0.36%,2024-12-04,24.89,7.46%,2024-10-31,,26.23,,26.04,,2.71%,1.95%,,,885155200,US8851552005
IBIB,iShares iBonds Oct 2025 Term TIPS ETF,Fixed Income,27890180,25.39,0.04%,8053,5,25.38,25.36,25.39,25.38,,,,25.38,-0.06%,25.39,Target Maturity,25.05,25.66,10226,78.75%,,0.04%,0.10%,BlackRock,ICE 2025 Maturity USInflation-Linked Treasury Index,2023-09-13,,,56.60,52.55,60.50,0.02,1.26,0.26,4.98%,,2,,Quarterly,2024-12-18,,NYSEARCA,North America,United States,Long,No,1100000,0.53%,0.46%,1.26%,0.28%,0.63%,,,,,,0.53%,1.48%,3.22%,0.28%,5.78%,,,,,,5.77%,,,,,,1.36%,-1.05%,25.66,-1.05%,2024-06-27,24.91,1.95%,2023-10-03,,25.38,25.35,25.32,25.30,0.28%,0.05%,0.34%,0.15%,46438G406,US46438G4064
ENOR,iShares MSCI Norway ETF,Equity,27876480,23.52,0.24%,3275,67,23.53,23.47,23.57,23.46,,,,,,,Miscellaneous Region,21.75,26.41,7612,43.78%,0.30%,-0.06%,0.53%,BlackRock,MSCI Norway IMI 25/50 Index,2012-01-23,10.75,1.19,60.75,48.08,47.58,0.23,1.42,0.54,6.03%,15.00%,4,64.82%,Semi-Annual,2024-12-17,,BATS,Europe,Norway,Long,No,1200000,6.79%,-1.78%,-2.91%,4.70%,0.98%,-17.55%,-5.33%,-0.40%,,,6.79%,0.59%,-0.58%,4.70%,7.15%,-4.12%,15.74%,40.60%,,,7.14%,-1.39%,2.97%,3.47%,,,8.12%,-10.96%,35.42,-33.61%,2014-06-09,12.73,84.72%,2020-03-18,,23.34,24.12,22.79,23.98,3.16%,0.74%,-1.94%,-2.51%,46429B499,US46429B4995
APRH,Innovator Premium Income 20 Barrier ETF - April,Equity,27821250,24.75,,2073,6,24.70,24.70,24.79,24.75,,,,,,,Defined Outcome,23.66,25.11,2628,78.87%,-0.20%,0.19%,0.79%,Innovator,,2023-04-03,26.68,,42.82,46.01,48.38,0.09,1.70,0.40,6.85%,,2,182.82%,Quarterly,2024-12-31,,BATS,North America,United States,Long,No,1125000,-0.99%,0.16%,0.19%,0.36%,-0.07%,,,,,,0.63%,1.79%,3.49%,0.36%,6.99%,,,,,,6.98%,,,,,,4.59%,-1.45%,25.26,-2.02%,2023-06-28,23.66,4.60%,2024-08-05,,24.89,24.77,24.80,24.82,-0.21%,-0.56%,-0.29%,-0.10%,45783Y624,US45783Y6243
IMAR,Innovator International Developed Power Buffer ETF March,Equity,27809650,25.48,-0.14%,1091,0,25.57,25.47,25.57,25.52,,,,,,,Defined Outcome,24.83,27.20,5646,19.12%,0.20%,-0.35%,0.85%,Innovator,,2024-02-29,16.49,,59.31,46.53,,0.13,,,,,,,,,,NYSEARCA,Global,,Long,No,1100000,1.54%,-3.15%,-1.98%,1.42%,,,,,,,1.54%,-3.15%,-1.98%,1.42%,,,,,,,,,,,,,2.62%,-6.32%,27.20,-6.33%,2024-09-26,24.83,2.60%,2025-01-02,,25.40,25.87,25.17,25.95,1.24%,0.32%,-1.81%,-1.52%,45783Y343,US45783Y3430
FMQQ,FMQQ The Next Frontier Internet ETF,Equity,27745248,12.41,0.49%,34801,43,12.43,12.41,12.43,12.35,,,,,,,Diversified Emerging Mkts,11.03,13.94,6030,784.56%,0.65%,-0.16%,0.86%,EMQQ Global,FMQQ The Next Frontier Internet Index,2021-09-28,27.79,1.20,39.82,42.41,41.71,0.17,0.06,0.06,0.45%,,2,12.76%,Annual,2024-12-30,,NYSEARCA,,,Long,No,2200000,-3.75%,-8.23%,-0.40%,-1.15%,10.71%,-29.19%,,,,,-3.31%,-7.81%,0.05%,-1.15%,11.20%,-28.79%,,,,,11.18%,-10.70%,,,,,12.51%,-10.98%,25.97,-52.21%,2021-10-19,9.13,35.93%,2022-10-24,,13.13,12.83,12.59,13.04,-1.46%,-5.50%,-4.86%,-3.30%,301505590,US3015055904
MUU,Direxion Daily MU Bull 2X Shares,Equity,27730024,25.13,-0.20%,340054,9,25.15,24.46,25.79,25.18,25.41,0.91%,25.18,23.71,-5.65%,25.13,Trading--Leveraged Equity,15.21,31.04,316378,107.75%,-0.12%,-0.08%,0.97%,Direxion,,2024-10-10,,,61.09,50.59,,1.96,0.05,0.05,0.19%,,1,,,2024-12-23,,NASDAQ,,,2X Long,No,1225000,42.54%,-11.86%,,64.14%,,,,,,,42.92%,-11.62%,,64.14%,,,,,,,,,,,,,65.22%,-19.04%,31.04,-19.04%,2024-10-17,15.21,65.24%,2024-12-20,,22.28,,19.75,,27.21%,12.79%,,,25461A528,US25461A5285
FHYS,Federated Hermes Short Duration High Yield ETF,Fixed Income,27728120,23.14,-0.15%,6422,204,23.12,23.12,23.14,23.17,,,,,,,High Yield Bond,22.79,25.34,13209,48.62%,-0.22%,0.06%,0.51%,Federated Hermes,,2021-12-16,,0.27,54.71,52.48,47.47,0.10,1.47,0.17,6.36%,-4.48%,,,Monthly,2024-12-31,,NYSEARCA,,,Long,No,1204000,0.24%,-0.15%,0.15%,0.81%,1.03%,-7.29%,,,,,0.96%,1.52%,3.57%,0.81%,7.70%,12.46%,,,,,7.68%,3.99%,,,,,1.51%,-8.70%,25.34,-8.70%,2024-12-02,21.65,6.86%,2022-09-29,,23.13,23.07,23.06,23.11,0.33%,0.04%,0.10%,0.29%,31423L206,US31423L2060
RSJN,FT Vest U.S. Equity Equal Weight Buffer ETF - June,Equity,27684566,32.82,-0.17%,7700,0,32.79,32.79,32.83,32.88,,,,,,,,29.95,33.26,2891,287.24%,-0.27%,0.09%,0.85%,First Trust,,2024-06-21,23.50,,61.51,60.38,,0.21,,,,,,,,,,NYSEARCA,North America,United States,Long,No,850002,2.63%,1.42%,7.09%,3.09%,,,,,,,2.63%,1.42%,7.09%,3.09%,,,,,,,,,,,,,9.58%,-1.32%,33.26,-1.31%,2024-12-02,29.95,9.58%,2024-07-01,,32.51,,32.11,,2.20%,0.96%,,,33740F227,US33740F2276
OCTU,AllianzIM U.S. Equity Buffer15 Uncapped Oct ETF,Equity,27645022,25.88,0.62%,100,0,25.88,25.88,25.88,25.72,,,,,,,Defined Outcome,24.76,26.12,10952,0.91%,0.62%,-0.02%,0.74%,Allianz,,2024-09-30,,,58.79,56.23,,0.19,,,,,,,,,,BATS,North America,United States,Long,No,1075000,1.31%,2.13%,,2.16%,,,,,,,1.31%,2.13%,,2.16%,,,,,,,,,,,,,4.50%,-0.94%,26.12,-0.94%,2024-12-06,24.76,4.50%,2024-10-07,,25.67,,25.51,,1.43%,0.80%,,,00888H547,US00888H5476
NUSA,Nuveen ESG 1-5 Year U.S. Aggregate Bond ETF,Fixed Income,27574542,23.05,-0.13%,15350,298,23.08,23.00,23.08,23.08,,,,,,,Short-Term Bond,22.56,23.54,13852,116.84%,,-0.13%,0.16%,Nuveen,Bloomberg MSCI 1-5 Year US Aggregate ESG Select Index,2017-03-31,,0.10,58.60,49.99,47.38,0.08,0.90,0.03,3.91%,,3,,Monthly,2024-12-31,,NYSEARCA,North America,United States,Long,No,1200000,0.52%,-0.48%,-0.02%,0.44%,0.33%,-6.05%,-7.89%,,,,0.63%,0.53%,2.08%,0.44%,4.33%,3.69%,6.49%,,,,4.32%,1.22%,1.26%,,,,2.17%,-2.08%,26.82,-14.06%,2020-09-14,22.33,3.25%,2022-10-20,,23.00,23.04,22.95,23.13,0.44%,0.23%,-0.34%,0.06%,67092P110,US67092P1104
BUFP,PGIM Laddered Fund of Buffer 12 ETF,Equity,27569580,27.04,0.42%,800,0,27.04,27.01,27.05,26.93,,,,,,,Defined Outcome,24.57,27.11,4859,18.02%,0.41%,,0.50%,PGIM,,2024-06-11,,,64.74,68.05,,0.17,0.01,0.01,0.02%,,1,,,2024-12-27,,BATS,North America,United States,Long,No,1020000,1.11%,2.39%,6.55%,1.35%,,,,,,,1.13%,2.40%,6.57%,1.35%,,,,,,,,,,,,,10.05%,-0.26%,27.27,-0.85%,2025-01-22,24.57,10.03%,2024-08-05,,26.83,,26.86,26.09,0.67%,0.76%,3.65%,,69420N718,US69420N7185
CVSE,Calvert US Select Equity ETF,Equity,27436000,69.96,0.89%,2271,183,69.75,69.75,70.00,69.34,,,,,,,Large Blend,58.59,71.77,6563,34.60%,0.59%,0.30%,0.29%,Morgan Stanley,,2023-01-30,27.54,,60.43,57.82,66.35,0.56,0.71,0.21,1.01%,1.29%,2,27.41%,Quarterly,2024-12-23,,NYSEARCA,North America,United States,Long,Yes,400000,2.07%,0.91%,7.45%,3.30%,20.12%,,,,,,2.38%,1.22%,8.03%,3.30%,21.42%,,,,,,21.37%,,,,,,19.41%,-2.52%,71.77,-2.52%,2024-12-04,47.41,47.56%,2023-03-13,,69.47,66.04,68.28,67.37,2.46%,0.70%,3.84%,5.94%,61774R502,US61774R5028
ROAM,Hartford Multifactor Emerging Markets ETF,Equity,27402960,23.18,0.07%,1900,335,23.27,23.16,23.31,23.17,,,,,,,Diversified Emerging Mkts,21.74,26.00,3378,56.25%,0.43%,-0.38%,0.44%,The Hartford,Hartford Multi-factor Emerging Markets Equity Index,2015-02-26,8.41,0.76,52.82,44.48,52.28,0.20,0.95,0.74,4.07%,-21.61%,,34.23%,Semi-Annual,2024-12-23,,NYSEARCA,Global,,Long,No,1200000,-1.56%,-7.44%,-3.51%,2.03%,8.45%,-3.42%,1.08%,,,,1.61%,-4.47%,-0.40%,2.03%,12.91%,11.81%,26.02%,,,,12.88%,3.79%,4.73%,,,,6.63%,-10.84%,28.12,-17.25%,2018-01-26,13.79,68.73%,2020-03-19,,23.56,24.08,22.92,24.21,1.52%,-1.22%,-3.88%,-3.36%,518416201,US5184162015
PTEU,Pacer Trendpilot European Index ETF,Equity,27379000,25.38,-0.24%,6225,303,25.38,25.36,25.45,25.44,,,,,,,Europe Stock,23.71,28.22,5546,113.48%,-0.24%,,0.65%,Pacer,Pacer Trendpilot European Index,2015-12-15,15.70,0.41,61.97,47.83,49.57,0.30,0.84,0.84,3.28%,22.43%,2,51.63%,Annual,2024-12-27,,BATS,Europe,,Long,No,1100000,2.70%,-5.50%,-3.76%,6.01%,4.57%,5.92%,-8.03%,,,,6.25%,-2.23%,-0.43%,6.01%,8.19%,13.34%,-0.04%,,,,8.17%,4.26%,-0.01%,,,,7.04%,-10.06%,33.39,-23.99%,2018-01-25,20.14,26.02%,2020-10-30,,25.03,26.24,24.45,26.13,3.82%,1.41%,-2.86%,-3.27%,69374H808,US69374H8088
FTWO,Strive Natural Resources and Security ETF,Equity,27370360,32.38,0.12%,18300,52,32.40,32.25,32.65,32.34,,,,,,,Miscellaneous Sector,24.12,32.75,17659,103.63%,0.19%,-0.06%,0.49%,Alpha Architect,Bloomberg FAANG 2.0 Select Index,2023-08-31,23.67,,74.60,61.35,67.28,0.43,0.35,0.15,1.09%,,2,25.88%,Quarterly,2024-12-30,,NYSE,North America,United States,Long,No,860000,11.50%,-0.31%,14.01%,12.73%,33.97%,,,,,,12.09%,0.22%,14.95%,12.73%,35.61%,,,,,,35.53%,,,,,,34.24%,-1.13%,32.75,-1.13%,2024-10-21,23.05,40.48%,2023-10-06,,30.51,29.54,30.04,29.82,7.80%,6.12%,8.58%,9.63%,02072L557,US02072L5571
DOGG,FT Vest DJIA Dogs 10 Target Income ETF,Equity,27338890,19.98,-0.13%,22338,43,19.82,19.82,20.02,20.00,,,,,,,Derivative Income,18.90,21.62,26475,84.37%,-0.90%,0.80%,0.75%,First Trust,,2023-04-26,24.11,,58.30,49.21,46.37,0.24,1.88,0.15,9.40%,,2,228.09%,Monthly,2025-01-22,,BATS,North America,United States,Long,No,1350000,4.82%,-5.85%,-1.01%,4.92%,-5.94%,,,,,,5.61%,-2.96%,4.42%,5.71%,3.92%,,,,,,3.91%,,,,,,5.70%,-7.60%,23.12,-13.59%,2023-12-01,18.64,7.17%,2023-10-27,,19.67,20.24,19.45,20.18,2.74%,1.59%,-1.02%,-1.30%,33738D846,US33738D8469
AGGS,Harbor Disciplined Bond ETF,Fixed Income,27330750,40.65,0.27%,253,0,40.67,40.65,40.67,40.53,,,,40.67,0.34%,40.53,Intermediate Core-Plus Bond,40.06,42.83,1191,21.25%,0.35%,-0.06%,0.35%,Harbor,,2024-04-30,,,47.88,42.24,,0.11,1.37,0.29,3.37%,,1,,Monthly,2024-12-20,,NYSEARCA,,,Long,No,675000,0.17%,-2.10%,-1.46%,0.30%,,,,,,,0.17%,-0.59%,1.21%,0.30%,,,,,,,,,,,,,1.46%,-5.10%,42.83,-5.10%,2024-09-16,40.06,1.46%,2024-05-02,,40.95,,40.43,41.50,0.53%,-0.74%,-2.06%,,41151J794,US41151J7946
FLAX,Franklin FTSE Asia ex Japan ETF,Equity,27300000,22.87,0.04%,1216,1573,22.86,22.86,22.87,22.86,,,,,,,Pacific/Asia ex-Japan Stk,18.81,25.96,9643,12.61%,,0.04%,0.19%,Franklin Templeton,FTSE Asia ex Japan RIC Capped Index,2018-02-06,14.94,0.62,49.74,47.13,52.02,0.20,0.71,0.35,3.11%,51.06%,1,46.40%,Semi-Annual,2024-12-20,,NYSEARCA,Global,,Long,Yes,1200000,-0.10%,-6.61%,0.37%,0.66%,12.81%,-12.15%,0.34%,,,,-0.10%,-5.18%,1.90%,0.66%,16.34%,-4.75%,13.25%,,,,16.30%,-1.61%,2.52%,,,,21.58%,-11.90%,31.71,-27.88%,2021-02-16,16.37,39.67%,2020-03-19,,23.21,23.11,22.70,23.35,0.75%,-1.46%,-2.04%,-1.05%,35473P660,US35473P6604
MAGA,Point Bridge America First ETF,Equity,27230500,49.82,-0.58%,26053,140,50.23,49.82,50.23,50.11,50.10,-0.02%,50.11,,,,Mid-Cap Value,41.15,52.68,5532,470.99%,0.24%,-0.82%,0.72%,Point Bridge Capital,Point Bridge America First Index,2017-09-06,19.91,1.11,60.38,56.14,61.83,0.53,0.56,0.56,1.12%,-16.04%,,22.38%,Annual,2024-12-27,,BATS,North America,United States,Long,Yes,550000,3.87%,-0.25%,8.85%,5.27%,20.66%,31.07%,71.50%,,,,5.09%,0.92%,10.13%,5.27%,22.08%,36.55%,84.64%,,,,22.03%,10.94%,13.04%,,,,21.07%,-5.43%,52.68,-5.43%,2024-11-29,16.33,205.08%,2020-03-23,,49.80,47.19,48.16,48.00,3.44%,0.05%,3.79%,5.58%,26922A628,US26922A6284
SOYB,Teucrium Soybean Fund,Commodity,27225088,22.23,-0.85%,32160,12,22.42,22.14,22.53,22.42,,,,,,,Commodities Focused,20.20,26.19,33187,96.90%,,-0.85%,0.22%,Teucrium,Teucrium Soybean Fund Benchmark,2011-09-19,,0.16,60.96,52.08,42.52,0.37,,,,,,,,,,NYSEARCA,,,Long,Yes,1250004,7.21%,4.17%,-0.76%,3.49%,-12.99%,-6.60%,45.77%,11.65%,,,7.21%,4.17%,-0.76%,3.49%,-12.99%,-6.60%,45.77%,11.65%,,,-12.97%,-2.25%,7.83%,1.11%,,,10.05%,-15.12%,29.43,-24.46%,2023-07-24,13.27,67.52%,2020-04-21,,21.33,22.80,21.46,22.03,3.58%,4.23%,0.92%,-2.52%,88166A607,US88166A6073
PSFJ,Pacer Swan SOS Flex (July) ETF,Equity,27195000,29.85,0.32%,177,8,29.85,29.85,29.85,29.75,,,,,,,Defined Outcome,25.39,29.85,3169,5.59%,0.34%,,0.60%,Pacer,,2021-06-30,27.76,0.58,63.46,66.17,76.22,0.14,,,,,,,,,,BATS,North America,United States,Long,No,925000,1.99%,3.14%,7.89%,2.37%,17.66%,41.92%,,,,,1.99%,3.14%,7.89%,2.37%,17.66%,41.92%,,,,,17.62%,12.38%,,,,,17.57%,,29.85,,2025-01-22,19.35,54.26%,2022-10-13,,29.40,28.10,29.39,28.52,1.55%,1.54%,4.67%,6.25%,69374H469,US69374H4699
BCIL,Bancreek International Large Cap ETF,Equity,27188700,25.97,2.25%,1702,0,25.89,25.89,25.99,25.40,,,,,,,Foreign Large Growth,24.02,27.73,2719,41.28%,1.93%,0.32%,0.80%,Bancreek,,2024-03-21,27.55,,63.75,51.80,,0.22,0.19,0.03,0.74%,,1,20.47%,Quarterly,2024-12-30,,NYSEARCA,Global,,Long,No,1070000,2.53%,-2.05%,0.93%,2.90%,,,,,,,2.66%,-1.92%,1.08%,2.90%,,,,,,,,,,,,,8.13%,-6.34%,27.73,-6.34%,2024-09-26,24.02,8.12%,2024-04-18,,25.85,25.89,25.33,26.18,2.54%,0.47%,-0.80%,0.32%,30151E541,US30151E5419
NTSE,WisdomTree Emerging Markets Efficient Core Fund,Asset Allocation,27085450,28.97,-0.44%,7355,418,29.15,28.97,29.15,29.09,,,,,,,Diversified Emerging Mkts,26.78,32.89,4045,182.33%,0.21%,-0.63%,0.32%,WisdomTree,,2021-05-20,12.75,0.80,49.47,44.77,47.00,0.29,0.93,0.32,3.20%,34.35%,1,40.99%,Quarterly,2024-12-26,,NYSEARCA,Emerging Markets,,Long,No,950000,-1.40%,-7.73%,-2.57%,0.98%,7.92%,-22.01%,,,,,-0.32%,-6.73%,-0.14%,0.98%,11.26%,-14.82%,,,,,11.23%,-5.20%,,,,,8.17%,-11.93%,42.12,-31.23%,2021-06-04,22.79,27.10%,2022-10-24,,29.49,29.82,28.75,30.22,0.75%,-1.78%,-4.15%,-2.85%,97717Y642,US97717Y6427
HYSD,Columbia Short Duration High Yield ETF,Fixed Income,26988850,20.11,0.02%,3729,0,20.11,20.11,20.11,20.10,,,,,,,High Yield Bond,19.87,20.75,544,685.98%,0.05%,-0.02%,0.44%,Columbia Threadneedle,,2024-09-05,,,60.98,51.10,,0.04,0.36,0.10,1.81%,,1,,Monthly,2024-12-27,,NYSEARCA,,,Long,No,1350050,0.63%,0.05%,,1.05%,,,,,,,1.13%,1.48%,,1.05%,,,,,,,,,,,,,1.18%,-3.11%,20.75,-3.11%,2024-09-06,19.87,1.17%,2025-01-13,,20.04,,19.97,,0.68%,0.31%,,,19761L847,US19761L8476
UPSD,Aptus Large Cap Upside ETF,Equity,26973980,24.58,0.66%,7600,0,24.65,24.58,24.66,24.42,,,,,,,,23.29,25.63,31538,20.23%,0.94%,-0.28%,0.79%,Aptus Capital Advisors,,2024-11-20,26.39,,60.03,,,0.31,0.01,0.01,0.06%,,1,,,2024-12-30,,BATS,North America,United States,Long,No,1250000,-0.03%,,,2.83%,,,,,,,0.02%,,,2.83%,,,,,,,,,,,,,5.54%,-4.10%,25.63,-4.10%,2024-12-06,23.29,5.54%,2025-01-13,,,,24.29,,1.21%,,,,26922B444,US26922B4445
AZTD,Aztlan Global Stock Selection DM SMID ETF,Equity,26940704,24.16,0.68%,101,53,24.16,24.16,24.16,24.00,,,,,,,Global Small/Mid Stock,20.12,25.38,230,43.98%,0.67%,,0.75%,Tidal,Solactive Aztlan Global Developed Markets SMID Cap Index,2022-08-18,14.73,1.03,59.86,55.28,58.19,0.24,0.43,0.43,1.77%,,2,26.21%,Annual,2024-12-24,,NYSEARCA,Global,,Long,No,1150000,2.31%,1.12%,9.24%,5.57%,12.46%,,,,,,4.19%,2.98%,11.25%,5.57%,14.52%,,,,,,14.49%,,,,,,20.08%,-4.81%,25.38,-4.81%,2024-12-04,17.69,36.59%,2022-09-27,,23.98,22.70,23.27,23.18,3.85%,0.73%,4.22%,6.45%,886364470,US8863644709
ARLU,AllianzIM U.S. Equity Buffer15 Uncapped Apr ETF,Equity,26768722,27.95,,192,0,,,,,,,,,,,Defined Outcome,24.08,28.23,2948,6.51%,,,0.74%,Allianz,,2024-03-28,,,58.59,60.56,,0.24,,,,,,,,,,BATS,North America,United States,Long,No,975000,1.49%,2.33%,7.98%,2.59%,,,,,,,1.49%,2.33%,7.98%,2.59%,,,,,,,,,,,,,,,28.23,-0.99%,2024-12-05,24.08,16.07%,2024-04-19,,27.70,26.27,27.49,26.75,1.68%,0.89%,4.50%,6.40%,00888H612,US00888H6128
IBIF,iShares iBonds Oct 2029 Term TIPS ETF,Fixed Income,26760660,25.47,-0.04%,5478,7,25.48,25.46,25.48,25.48,,,,,,,Target Maturity,25.13,26.28,9949,55.23%,,-0.04%,0.10%,BlackRock,ICE 2029 Maturity USInflation-Linked Treasury Index,2023-09-19,,,51.20,46.01,58.32,0.05,1.03,0.19,4.03%,,2,,Quarterly,2024-12-18,,NYSEARCA,North America,United States,Long,No,1050000,0.67%,-1.09%,-0.06%,0.39%,-0.26%,,,,,,0.67%,-0.34%,1.44%,0.39%,3.82%,,,,,,3.81%,,,,,,1.35%,-3.08%,26.28,-3.09%,2024-09-24,24.55,3.76%,2023-10-03,,25.54,25.63,25.38,25.70,0.37%,-0.27%,-0.89%,-0.60%,46438G802,US46438G8024
